,Unnamed: 0,name,Daily,%YD,%LW,Theaters,Avg,To Date,Days,Distributor
1753,1753, 'Tinker Tailor Soldier Spy',"$29,959 ",-3.20%,-36.20%,164,$182 ,"$23,402,226 ",84,Focus Features\n\n
1754,1754, 'Underworld Awakening',"$25,669 ",13.70%,-74.60%,260,$98 ,"$62,248,769 ",42,Screen Gems\n\n
1755,1755, 'Mission: Impossible - Ghost Protocol',"$22,458 ",7.60%,-43.20%,178,$126 ,"$207,861,460 ",77,Paramount Pictures\n\n
1756,1756, 'War Horse',"$19,897 ",6.40%,-35.10%,213,$93 ,"$79,120,998 ",68,Walt Disney Studios Motion Pictures\n\n
1757,1757, 'The Adventures of Tintin',"$19,133 ",2.70%,-34.40%,272,$70 ,"$76,980,842 ",72,Paramount Pictures\n\n
1760,1760, 'Joyful Noise',"$18,267 ",18.80%,19.90%,277,$65 ,"$30,653,313 ",49,Warner Bros.\n\n
1761,1761, 'Extremely Loud & Incredibly Close',"$18,232 ",4.20%,-70.80%,280,$65 ,"$31,290,367 ",68,Warner Bros.\n\n
1762,1762, 'Contraband',"$17,825 ",13.10%,-59.70%,197,$90 ,"$66,241,445 ",49,Universal Pictures\n\n
1764,1764, 'One for the Money',"$14,805 ",30.50%,-79.50%,229,$64 ,"$26,001,158 ",35,Lionsgate\n\n
1767,1767, 'Man on a Ledge',"$5,582 ",14.50%,-80.20%,76,$73 ,"$18,620,000 ",35,Lionsgate\n\n
1768,1768, 'Tere Naal Love Ho Gaya',"$5,048 ",-20%,-,49,$103 ,"$122,815 ",7,UTV Motion Pictures\n\n
1769,1769, 'Chico & Rita',"$5,038 ",12.90%,64.50%,12,$419 ,"$135,202 ",21,GKIDS\n\n
1770,1770, 'Shame',"$5,017 ",9.50%,-52%,25,$200 ,"$3,826,824 ",91,Fox Searchlight Pictures\n\n
1772,1772, 'Haywire',"$4,206 ",6.10%,-36.40%,37,$113 ,"$18,843,061 ",42,Relativity Media\n\n
1773,1773, 'Happy Feet Two',"$3,664 ",19%,-49.80%,85,$43 ,"$63,948,719 ",105,Warner Bros.\n\n
1775,1775, 'Pariah',"$2,363 ",6.10%,-7.40%,13,$181 ,"$719,561 ",65,Focus Features\n\n
1777,1777, 'The Darkest Hour',"$1,850 ",-60.70%,-74.80%,94,$19 ,"$21,443,494 ",68,Summit Entertainment\n\n
1778,1778, 'Ek Main Aur Ekk Tu',"$1,789 ",-12.30%,-79.40%,35,$51 ,"$1,139,614 ",21,UTV Motion Pictures\n\n
1779,1779, 'Scorn',"$1,206 ",-,-,1,"$1,206 ","$1,206 ",1,Cortelyou Films\n\n
1780,1780, 'In the Land of Blood and Honey',$680 ,40.20%,-18.70%,4,$170 ,"$295,031 ",70,FilmDistrict\n\n
1781,1781, 'The Devil Inside',$545 ,-20.80%,-49.30%,25,$21 ,"$53,196,551 ",56,Paramount Pictures\n\n
1784,1784, 'The Secret Life of Pets 2',"$8,054,600 ",-14.50%,-39.40%,"4,564","$1,764 ","$92,652,550 ",10,Universal Pictures\n\n
1786,1786, 'X-Men: Dark Phoenix',"$3,541,081 ",3.30%,-55.40%,"3,721",$951 ,"$52,117,218 ",10,Twentieth Century Fox\n\n
1787,1787, 'Rocketman',"$3,371,956 ",-9.20%,-22.10%,"3,021","$1,116 ","$66,763,166 ",17,Paramount Pictures\n\n
1788,1788, 'Godzilla: King of the Monsters',"$3,323,139 ",2.70%,-32.70%,"3,207","$1,036 ","$94,372,017 ",17,Warner Bros.\n\n
1789,1789, 'Shaft',"$3,214,408 ",8.70%,-,"2,952","$1,088 ","$8,901,419 ",3,Warner Bros.\n\n
1790,1790, 'John Wick: Chapter 3 - Parabellum',"$2,630,810 ",12.80%,10.20%,"2,033","$1,294 ","$148,928,130 ",31,Lionsgate\n\n
1791,1791, 'Avengers: Endgame',"$1,508,670 ",8.90%,-4.70%,"1,450","$1,040 ","$830,700,214 ",52,Walt Disney Studios Motion Pictures\n\n
1792,1792, 'Late Night',"$1,418,107 ",-26.50%,2891.40%,"2,220",$638 ,"$5,568,462 ",10,Amazon Studios\n\n
1793,1793, 'Ma',"$1,129,020 ",-23.30%,-51.70%,"1,794",$629 ,"$40,458,970 ",17,Universal Pictures\n\n
1794,1794," ""The Dead Don't Die""",", ",", ",", ",", ",", ",", ",", ",", "
1795,1795, 'Pokémon Detective Pikachu',"$421,606 ",-19.50%,-60%,984,$428 ,"$140,800,319 ",38,Warner Bros.\n\n
1796,1796, 'Booksmart',"$270,049 ",-21.90%,-45.30%,577,$468 ,"$19,752,169 ",24,United Artists Releasing\n\n
1797,1797, 'The Last Black Man in San Francisco',"$124,178 ",-12.30%,83.40%,36,"$3,449 ","$733,087 ",10,A24\n\n
1798,1798, 'The Biggest Little Farm',"$89,528 ",6%,-21.30%,176,$508 ,"$2,963,330 ",38,Neon\n\n
1800,1800, 'Pavarotti',"$74,762 ",-7.50%,83.40%,48,"$1,557 ","$450,212 ",10,CBS Films\n\n
